,0
0,Connecticut
1,Georgia
2,Indiana
3,Louisiana
4,Maryland
5,Michigan
6,Minnesota
7,Missouri
8,Montana
9,New Hampshire
10,New Jersey
11,North Carolina
12,North Dakota
13,Oklahoma
14,Oregon
15,Pennsylvania
16,South Carolina
17,South Dakota
18,Tennessee
19,Utah
20,Vermont
21,Virginia
22,Washington
23,West Virginia
24,Wisconsin
25,Wyoming
